fips,name,state,med_rate,voter_rate,pop
1001,Autauga County,Alabama,18.7,72.66,54571
1003,Baldwin County,Alabama,16.4,78.65,182265
1005,Barbour County,Alabama,27.3,57.02,27457
1007,Bibb County,Alabama,21.8,81.94,22915
1009,Blount County,Alabama,18.4,90.18,57322
1011,Bullock County,Alabama,30.7,26.81,10914
1013,Butler County,Alabama,25.2,61.08,20947
1015,Calhoun County,Alabama,22.7,71.94,118572
1017,Chambers County,Alabama,23.3,61.25,34215
1019,Cherokee County,Alabama,18.4,87.48,25989
1021,Chilton County,Alabama,20.7,85.77,43643
1023,Choctaw County,Alabama,26.2,61.74,13859
1025,Clarke County,Alabama,26.1,58.30,25833
1027,Clay County,Alabama,21.2,84.86,13932
1029,Cleburne County,Alabama,20.4,91.50,14972
1031,Coffee County,Alabama,20.8,78.56,49948
1033,Colbert County,Alabama,20.1,72.78,54428
1035,Conecuh County,Alabama,26.3,56.64,13228
1037,Coosa County,Alabama,20.1,71.39,11539
1039,Covington County,Alabama,22.4,85.97,37765
1041,Crenshaw County,Alabama,21.8,77.16,13906
1043,Cullman County,Alabama,19,89.90,80406
1045,Dale County,Alabama,23.2,75.78,50251
1047,Dallas County,Alabama,33.7,33.42,43820
1049,DeKalb County,Alabama,21.7,86.65,71109
1051,Elmore County,Alabama,18.2,75.62,79303
1053,Escambia County,Alabama,26.3,72.91,38319
1055,Etowah County,Alabama,21.8,77.47,104430
1057,Fayette County,Alabama,23.3,85.66,17241
1059,Franklin County,Alabama,22.9,86.25,31704
1061,Geneva County,Alabama,22.3,88.21,26790
1063,Greene County,Alabama,36.2,21.93,9045
1065,Hale County,Alabama,31.3,46.21,15760
1067,Henry County,Alabama,21,75.14,17302
1069,Houston County,Alabama,22.5,73.47,101547
1071,Jackson County,Alabama,21.2,85.38,53227
1073,Jefferson County,Alabama,22.9,44.19,658466
1075,Lamar County,Alabama,20.3,87.75,14564
1077,Lauderdale County,Alabama,18.4,75.27,92709
1079,Lawrence County,Alabama,21.1,80.82,34339
1081,Lee County,Alabama,18.7,63.31,140247
1083,Limestone County,Alabama,17,71.36,82782
1085,Lowndes County,Alabama,32.9,31.10,11299
1087,Macon County,Alabama,28.8,21.51,21452
1089,Madison County,Alabama,17.1,53.69,334811
1091,Marengo County,Alabama,28.8,51.64,21027
1093,Marion County,Alabama,20.8,90.55,30776
1095,Marshall County,Alabama,20.6,85.49,93019
1097,Mobile County,Alabama,23.2,57.73,412992
1099,Monroe County,Alabama,24.4,61.30,23068
1101,Montgomery County,Alabama,26,34.10,229363
1103,Morgan County,Alabama,19.6,75.79,119490
1105,Perry County,Alabama,37.6,28.47,10591
1107,Pickens County,Alabama,25.6,61.42,19746
1109,Pike County,Alabama,24.2,62.24,32899
1111,Randolph County,Alabama,22.1,82.19,22913
1113,Russell County,Alabama,25.9,48.74,52947
1115,St. Clair County,Alabama,16.7,81.72,83593
1117,Shelby County,Alabama,14.5,69.86,195085
1119,Sumter County,Alabama,32.6,29.11,13763
1121,Talladega County,Alabama,23.4,66.62,82291
1123,Tallapoosa County,Alabama,22.2,74.49,41616
1125,Tuscaloosa County,Alabama,20.3,59.76,194656
1127,Walker County,Alabama,22.3,85.60,67023
1129,Washington County,Alabama,21.7,77.51,17581
1131,Wilcox County,Alabama,35.7,34.09,11670
1133,Winston County,Alabama,20.7,91.57,24484
2013,Aleutians East Borough,Alaska,21.7,49.36,3141
2016,Aleutians West Census Area,Alaska,18.1,42.37,5561
2020,Anchorage Municipality,Alaska,21.5,43.66,291826
2050,Bethel Census Area,Alaska,39.8,#N/A,17013
2060,Bristol Bay Borough,Alaska,21,#N/A,997
2063,Chugach Census Area,Alaska,18.1,#N/A,#N/A
2066,Copper River Census Area,Alaska,25.2,#N/A,#N/A
2068,Denali Borough,Alaska,14.5,#N/A,1826
2070,Dillingham Census Area,Alaska,33.1,#N/A,4847
2090,Fairbanks North Star Borough,Alaska,20.5,#N/A,97581
2100,Haines Borough,Alaska,21,#N/A,2508
2105,Hoonah-Angoon Census Area,Alaska,23.5,#N/A,#N/A
2110,Juneau City and Borough,Alaska,19.8,#N/A,31275
2122,Kenai Peninsula Borough,Alaska,21.4,#N/A,55400
2130,Ketchikan Gateway Borough,Alaska,22,#N/A,13477
2150,Kodiak Island Borough,Alaska,21.6,#N/A,13592
2158,Kusilvak Census Area,Alaska,45.8,#N/A,#N/A
2164,Lake and Peninsula Borough,Alaska,31.4,#N/A,1631
2170,Matanuska-Susitna Borough,Alaska,21.8,#N/A,88995
2180,Nome Census Area,Alaska,36.6,#N/A,9492
2185,North Slope Borough,Alaska,23.9,#N/A,9430
2188,Northwest Arctic Borough,Alaska,35.7,#N/A,7523
2195,Petersburg Borough,Alaska,18.9,#N/A,#N/A
2198,Prince of Wales-Hyder Census Area,Alaska,26.9,#N/A,0
2220,Sitka City and Borough,Alaska,18.4,#N/A,8881
2230,Skagway Municipality,Alaska,19.2,#N/A,0
2240,Southeast Fairbanks Census Area,Alaska,24,#N/A,7029
2275,Wrangell City and Borough,Alaska,23.3,#N/A,#N/A
2282,Yakutat City and Borough,Alaska,19.2,#N/A,#N/A
2290,Yukon-Koyukuk Census Area,Alaska,35,#N/A,5588
4001,Apache County,Arizona,52.7,39.96,71518
4003,Cochise County,Arizona,36.1,60.99,131346
4005,Coconino County,Arizona,34.3,39.36,134421
4007,Gila County,Arizona,36.7,68.36,53597
4009,Graham County,Arizona,36.6,73.62,37220
4011,Greenlee County,Arizona,31.9,69.77,8437
4012,La Paz County,Arizona,38.5,71.75,20489
4013,Maricopa County,Arizona,14.4,51.20,3817117
4015,Mohave County,Arizona,33.1,77.58,200186
4017,Navajo County,Arizona,45.6,58.14,107449
4019,Pima County,Arizona,29.7,41.83,980263
4021,Pinal County,Arizona,30.4,60.57,375770
4023,Santa Cruz County,Arizona,40.8,40.26,47420
4025,Yavapai County,Arizona,29,66.50,211033
4027,Yuma County,Arizona,39.4,59.75,195751
5001,Arkansas County,Arkansas,26.9,71.23,19019
5003,Ashley County,Arkansas,30.1,73.19,21853
5005,Baxter County,Arkansas,22.1,77.57,41513
5007,Benton County,Arkansas,18.8,62.14,221339
5009,Boone County,Arkansas,23.6,81.63,36903
5011,Bradley County,Arkansas,29.4,68.96,11508
5013,Calhoun County,Arkansas,23.2,80.02,5368
5015,Carroll County,Arkansas,22.7,64.74,27446
5017,Chicot County,Arkansas,35.8,47.51,11800
5019,Clark County,Arkansas,28.3,59.11,22995
5021,Clay County,Arkansas,25.7,79.89,16083
5023,Cleburne County,Arkansas,22.4,83.17,25970
5025,Cleveland County,Arkansas,25.5,83.11,8689
5027,Columbia County,Arkansas,30.3,67.59,24552
5029,Conway County,Arkansas,28.5,69.00,21273
5031,Craighead County,Arkansas,28.3,67.54,96443
5033,Crawford County,Arkansas,25.1,78.10,61948
5035,Crittenden County,Arkansas,33.9,47.87,50902
